# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 151K of event 'cycles'
# Event count (approx.): 553633736228
#
# Children      Self  Symbol                                          IPC   [IPC Coverage]
# ........  ........  ..............................................  ....................
#
     0.02%     0.00%  [.] 0x1d1af36a0599dd84                          -      -            
     0.02%     0.00%  [.] 0x0000000000000021                          -      -            
     0.02%     0.00%  [k] sched_tick                                  -      -            
     0.02%     0.00%  [.] 0xed5219e5474c8837                          -      -            
     0.02%     0.00%  [.] 0x753590cb11b0be46                          -      -            
     0.02%     0.01%  [.] ecp_nistz256_get_affine.part.0              -      -            
     0.02%     0.00%  [.] 0x9a0bcb6db40341b7                          -      -            
     0.02%     0.00%  [k] 0x32caab7b40c72493                          -      -            
     0.02%     0.02%  [.] bn_mul_normal                               -      -            
     0.02%     0.00%  [.] 0x3a8de0e78e1bc1fe                          -      -            
     0.02%     0.00%  [.] ossl_encode_der_length                      -      -            
     0.02%     0.00%  [.] 0x0e10397c8c4d9fb9                          -      -            
     0.02%     0.00%  [.] evp_keymgmt_util_assign_pkey                -      -            
     0.02%     0.00%  [.] 0xa3d6a4cf6c182d51                          -      -            
     0.02%     0.00%  [.] BN_MONT_CTX_set_locked                      -      -            
     0.02%     0.01%  [.] ecp_nistz256_inv_mod_ord                    -      -            
     0.02%     0.00%  [.] 0xc23d6d3686567d71                          -      -            
     0.02%     0.01%  [.] ossl_cipher_generic_block_update            -      -            
     0.02%     0.00%  [k] irq_exit_rcu                                -      -            
     0.02%     0.02%  [.] ecp_nistz256_point_double                   -      -            
     0.02%     0.02%  [.] bn_powerx5                                  -      -            
     0.02%     0.00%  [.] 0xf6738cc29d848404                          -      -            
     0.02%     0.00%  [.] 0x09c835b9ff268382                          -      -            
     0.02%     0.00%  [k] handle_softirqs                             -      -            
     0.02%     0.02%  [.] CRYPTO_calloc                               -      -            
     0.02%     0.00%  [.] 0x718ad8a05f7d90c9                          -      -            
     0.02%     0.00%  [.] 0x2835c90e01e6ef49                          -      -            
     0.02%     0.00%  [.] 0xa831c66d2db43210                          -      -            
     0.02%     0.00%  [.] 0x1a73e5de8a57498a                          -      -            
     0.02%     0.02%  [.] SHA512_Update_thunk                         -      -            
     0.02%     0.00%  [.] 0x7137449123ef65cd                          -      -            
     0.02%     0.00%  [k] __x64_sys_getpid                            -      -            
     0.02%     0.00%  [.] ERR_set_mark                                -      -            
     0.02%     0.00%  [.] 0x4ae6fdd3782318a8                          -      -            
     0.02%     0.01%  [.] WPACKET_reserve_bytes                       -      -            
     0.02%     0.01%  [k] __task_pid_nr_ns                            -      -            
     0.02%     0.00%  [.] 0x8de3408e9ad6047e                          -      -            
     0.02%     0.00%  [.] 0x93340ea006b37b7e                          -      -            
     0.02%     0.00%  [.] 0xedbd0334433bbe4f                          -      -            
     0.02%     0.02%  [.] pthread_rwlock_unlock@@GLIBC_2.34           -      -            
     0.02%     0.00%  [.] ossl_namemap_name2num_n                     -      -            
     0.02%     0.02%  [.] BN_with_flags                               -      -            
     0.02%     0.00%  [.] 0x89e8be51a173239b                          -      -            
     0.02%     0.02%  [.] BN_consttime_swap                           -      -            
     0.02%     0.02%  [.] memset@plt                                  -      -            
     0.02%     0.00%  [.] 0x3f760b54ee23fe27                          -      -            
     0.02%     0.00%  [.] 0xc65736b3640ff565                          -      -            
     0.02%     0.00%  [.] 0x45284f0de3a1206d                          -      -            
     0.02%     0.00%  [.] 0xf9b5e34a6d791094                          -      -            
     0.02%     0.00%  [.] 0xb2c43e09fbd8fd3b                          -      -            
     0.02%     0.00%  [.] BN_new                                      -      -            
     0.02%     0.00%  [.] ossl_ffc_generate_private_key               -      -            
     0.02%     0.00%  [.] 0xb7486f24e1578d60                          -      -            
     0.02%     0.00%  [.] BN_gcd                                      -      -            
     0.02%     0.00%  [.] 0x7570e5db9a36aafd                          -      -            
     0.02%     0.01%  [.] BN_set_bit                                  -      -            
     0.01%     0.00%  [.] 0xa32510e7577b6edf                          -      -            
     0.01%     0.01%  [.] WPACKET_start_sub_packet_at_offset_len__    -      -            
     0.01%     0.00%  [.] 0x68181fa3fb6bd23a                          -      -            
     0.01%     0.00%  [.] 0x939bbff47af0d136                          -      -            
     0.01%     0.00%  [.] 0x0000000000000221                          -      -            
     0.01%     0.00%  [.] 0x59ae04cf072f12c1                          -      -            
     0.01%     0.00%  [.] 0xf3aad8b5e623ea7e                          -      -            
     0.01%     0.00%  [.] 0x00000000000000e1                          -      -            
     0.01%     0.00%  [.] 0x2c72b5eefd000903                          -      -            
     0.01%     0.00%  [.] 0xc4f8a35d5b94be60                          -      -            
     0.01%     0.00%  [.] 0x423465accea5f84b                          -      -            
     0.01%     0.00%  [.] EVP_PKEY_set_type_by_keymgmt                -      -            
     0.01%     0.00%  [.] 0x89a88b5d1e46cd3f                          -      -            
     0.01%     0.01%  [.] evp_cipher_init_internal                    -      -            
     0.01%     0.00%  [.] EVP_MD_CTX_free                             -      -            
     0.01%     0.00%  [.] EVP_MD_CTX_reset                            -      -            
     0.01%     0.00%  [.] 0x3fcfed170112d63f                          -      -            
     0.01%     0.00%  [.] 0x78f8b9d8ae1fb092                          -      -            
     0.01%     0.00%  [.] BN_sqr                                      -      -            
     0.01%     0.00%  [.] 0x00007ffefb59daf0                          -      -            
     0.01%     0.00%  [.] 0x87b803fcb51e5986                          -      -            
     0.01%     0.00%  [.] ossl_namemap_doall_names                    -      -            
     0.01%     0.01%  [.] __strcmp_evex                               -      -            
     0.01%     0.01%  [.] CRYPTO_THREAD_get_local_ex                  -      -            
     0.01%     0.00%  [.] 0x3240a66689ba5831                          -      -            
     0.01%     0.00%  [.] 0x39f3cfa075b2099e                          -      -            
     0.01%     0.00%  [.] 0xafd07bb250135e90                          -      -            
     0.01%     0.00%  [.] 0x5cea7c4df0455a93                          -      -            
     0.01%     0.00%  [.] 0x587a1411e7b8bf56                          -      -            
     0.01%     0.00%  [.] 0xba70218f572135dc                          -      -            
     0.01%     0.00%  [.] ossl_decode_der_dsa_sig                     -      -            
     0.01%     0.00%  [.] ossl_decode_der_integer                     -      -            
     0.01%     0.00%  [.] 0x5a45ab3c75f7fedf                          -      -            
     0.01%     0.00%  [.] 0xfa01156b55122394                          -      -            
     0.01%     0.00%  [.] 0x51325a7212b89996                          -      -            
     0.01%     0.00%  [.] 0x65adb8bc05099817                          -      -            
     0.01%     0.00%  [.] 0x687fe926b12a9a36                          -      -            
     0.01%     0.00%  [.] 0x3b3420193bbfbaeb                          -      -            
     0.01%     0.01%  [.] pthread_rwlock_rdlock@GLIBC_2.2.5           -      -            
     0.01%     0.00%  [.] bn_sqr_fixed_top                            -      -            
     0.01%     0.00%  [.] 0xa79c428909605700                          -      -            
     0.01%     0.00%  [.] 0xadaa3b403f0e9d9f                          -      -            
     0.01%     0.01%  [.] pthread_getspecific@@GLIBC_2.34             -      -            
     0.01%     0.00%  [.] bn_mul_recursive.localalias                 -      -            
     0.01%     0.00%  [.] 0x601e5cf49a8a3d95                          -      -            
     0.01%     0.00%  [.] d2i_ECDSA_SIG                               -      -            
     0.01%     0.01%  [.] RAND_get_rand_method                        -      -            
     0.01%     0.00%  [.] find_ameth                                  -      -            
     0.01%     0.00%  [.] 0xfd27526ae8cf4a73                          -      -            
     0.01%     0.00%  [.] 0x61fd031e32081d13                          -      -            
     0.01%     0.00%  [.] HMAC_Init_ex.part.0                         -      -            
     0.01%     0.00%  [.] 0x1e1b8ea37506cb10                          -      -            
     0.01%     0.00%  [.] 0x3eb81a3ff5de107c                          -      -            
     0.01%     0.00%  [.] 0x34bfaa3f0f7fd2b3                          -      -            
     0.01%     0.01%  [.] _aesni_encrypt3                             -      -            
     0.01%     0.01%  [.] malloc@plt                                  -      -            
     0.01%     0.00%  [k] task_tick_fair                              -      -            
