# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 152K of event 'cycles'
# Event count (approx.): 389675809010
#
# Children      Self  Symbol                                         IPC   [IPC Coverage]
# ........  ........  .............................................  ....................
#
     0.01%     0.01%  [.] pthread_rwlock_unlock@@GLIBC_2.34          -      -            
     0.01%     0.00%  [.] EVP_DigestInit_ex                          -      -            
     0.01%     0.01%  [.] BN_bn2bin                                  -      -            
     0.01%     0.00%  [.] EVP_PKEY_set_type_by_keymgmt               -      -            
     0.01%     0.00%  [.] ossl_namemap_doall_names                   -      -            
     0.01%     0.00%  [.] BN_free                                    -      -            
     0.01%     0.00%  [.] evp_md_ctx_clear_digest                    -      -            
     0.01%     0.00%  [.] EVP_MD_CTX_reset                           -      -            
     0.01%     0.00%  [.] ossl_namemap_name2num_n                    -      -            
     0.01%     0.00%  [.] HMAC_Final                                 -      -            
     0.01%     0.00%  [.] EC_POINT_clear_free                        -      -            
     0.01%     0.00%  [.] ossl_ec_GFp_simple_point_clear_finish      -      -            
     0.01%     0.00%  [.] ossl_decode_der_integer                    -      -            
     0.01%     0.00%  [.] clock_gettime@@GLIBC_2.17                  -      -            
     0.01%     0.01%  [.] ossl_lib_ctx_get_data                      -      -            
     0.01%     0.01%  [.] memcpy@plt                                 -      -            
     0.01%     0.00%  [.] bn_copy_words                              -      -            
     0.01%     0.01%  [.] strcmp                                     -      -            
     0.01%     0.00%  [.] __kernel_clock_gettime                     -      -            
     0.01%     0.00%  [.] EVP_MD_CTX_free                            -      -            
     0.01%     0.00%  [.] BN_CTX_new_ex                              -      -            
     0.01%     0.00%  [.] WPACKET_finish                             -      -            
     0.01%     0.00%  [.] find_ameth                                 -      -            
     0.01%     0.00%  [.] CRYPTO_THREAD_run_once                     -      -            
     0.01%     0.01%  [.] ecp_nistz256_is_affine_G                   -      -            
     0.01%     0.00%  [.] bn_sqr_recursive.localalias                -      -            
     0.01%     0.00%  [.] ossl_method_store_cache_get                -      -            
     0.01%     0.00%  [.] bn_mul_recursive.localalias                -      -            
     0.01%     0.00%  [.] SHA256_Final                               -      -            
     0.01%     0.00%  [.] sha256_internal_final                      -      -            
     0.01%     0.01%  [.] OPENSSL_init_crypto                        -      -            
     0.01%     0.00%  [.] ossl_cipher_generic_initiv                 -      -            
     0.01%     0.01%  [.] ossl_drbg_get_ctx_params_no_lock           -      -            
     0.01%     0.01%  [.] ossl_ht_get                                -      -            
     0.01%     0.00%  [.] ossl_method_store_atomic_find_in_list      -      -            
     0.01%     0.00%  [.] ERR_clear_last_mark                        -      -            
     0.01%     0.00%  [k] __el0_irq_handler_common                   -      -            
     0.01%     0.00%  [k] el0_interrupt                              -      -            
     0.01%     0.00%  [k] el0t_64_irq                                -      -            
     0.01%     0.00%  [k] el0t_64_irq_handler                        -      -            
     0.01%     0.01%  [.] bn_sqr_comba8                              -      -            
     0.01%     0.01%  [.] free@plt                                   -      -            
     0.01%     0.00%  [.] ecp_nistz256_from_mont                     -      -            
